label,t,r,points,kTeams,scoringDiscAbs,minScoringDiscAbs,discSource,isSolvable,baselineUnlocked,baselineDiscAbs
24T157,157,24,0.0,26,68127873808129861331299743604151645372416,4069988620766876912681638731477663350784,exact_nfdisc,True,True,72663267215268556211671874973277863542784000000
24T159,159,0,0.0,37,55075209510147483973258838016000000000000,1505961523834397662438752256,exact_nfdisc,True,True,650130361027119108526652079807998831099904
24T159,159,4,0.0,27,13446096071813350579408896000000000000,80513390027596807817222160384,exact_nfdisc,True,,
24T159,159,8,0.0,30,329782845553036524819341968932864,324971903373483214607345291265625,exact_nfdisc,True,,
24T159,159,12,0.0,26,2214130621058825411521165990501292179456,24629230083494319534285431016165801984,exact_nfdisc,True,,
24T159,159,24,0.0,31,1090045980930077781300795897666426325958656,5452123816828056563841787138146304000000,exact_nfdisc,True,True,290653068861074224846687499893111454171136000000
24T160,160,0,0.0,38,557556054479199010816000000000000,92829823186414819915547541504,exact_nfdisc,True,True,2452157460147152961259796760100864
24T160,160,8,0.0,25,54613830615020567288200440531849583687007148404785397988289359943364311348773126144,142788023107057761064160423495860224,exact_nfdisc,True,,
24T160,160,16,0.0,32,142788023107057761064160423495860224,142788023107057761064160423495860224,exact_nfdisc,True,,
24T160,160,24,0.0,23,1189105444271638404370125873626909744300799093583026375113048064,4078168727960676713753485855465263857664,exact_nfdisc,True,True,16230721971163118651439442770346729653108985096041596635025911054336
24T161,161,24,1e-06,21,4944429953622006204487334032204990534556640608256,9346247795416655612849589505429931640625,exact_nfdisc,True,True,16230721971163118651439442770346729653108985096041596635025911054336
24T162,162,12,2e-06,20,174434971597715496239104000000000000000000,11163838182253791759302656000000000000,exact_nfdisc,True,,
24T163,163,24,0.0,24,546287172658740513672008801553628045662271231435326674714581008384,9346247795416655612849589505429931640625,exact_nfdisc,True,True,16230721971163118651439442770346729653108985096041596635025911054336
24T164,164,8,0.0,46,128879204243290478310928847735195063837194715136,12535574045064055841023686013353984,exact_nfdisc,True,,
24T164,164,12,0.0,39,4828471761228444722388176896000000000000,9469701556584242615644344963337027584,exact_nfdisc,True,,
24T164,164,24,0.0,34,449519477236630447998635916609960932542277197234176,38787897575769057753679236969828464984064,exact_nfdisc,True,True,2155607194276396135358067584821525476883168510787596557746176
24T165,165,4,0.0,31,6962524400235053056000000000000,11660526279065581900470943744,exact_nfdisc,True,True,2662933958767079868525166918893563212185206784
24T165,165,8,0.0,26,1624481505652798074217271296000000000000,96826643088626746786670166015625,exact_nfdisc,True,,
24T167,167,0,0.0,29,18165816803817139052917968743319465885696,158134644731459542671806121,exact_nfdisc,True,True,28960433879509230519599927984644376133369856
24T168,168,0,0.0,51,5011903057984000000000000000000,368947264000000000000000000,exact_nfdisc,True,True,7240108469877307629899981996161094033342464
24T168,168,8,0.0,53,390124120666292224000000000000000000,885842380864000000000000000000,exact_nfdisc,True,True,7240108469877307629899981996161094033342464
24T168,168,24,0.0,26,99871774890570809344000000000000000000,48791757314395166698527495007026282496,exact_nfdisc,True,True,918607229980679031614222221884401632935936
24T169,169,0,0.0,43,2804389700659369630815982818603515625,3460321800250000000000000000,exact_nfdisc,True,True,28960433879509230519599927984644376133369856
24T173,173,0,0.000115,14,1829083247780461241844147159040000000000000000,3008913598206457911032405231279897492084401,exact_nfdisc,True,,
24T173,173,8,2e-06,20,1829083247780461241844147159040000000000000000,155196416024828854599219522266435400625,exact_nfdisc,True,,
24T173,173,24,5.6e-05,15,1829083247780461241844147159040000000000000000,465380912405614833543244574512615738993201,exact_nfdisc,True,True,1624361393327218264464422530440648225325975458545664
24T174,174,8,0.0,32,28579425746569706903814799360000000000000000,28579425746569706903814799360000000000000000,exact_nfdisc,True,,
24T174,174,24,0.0,39,28579425746569706903814799360000000000000000,28579425746569706903814799360000000000000000,exact_nfdisc,True,True,103959129172941968925723041948201486420862429346922496
24T175,175,0,0.000468,12,187298124572719231164840669085696000000000000,2926533196448737986950635454464000000000000,exact_nfdisc,True,True,1829083247780461241844147159040000000000000000
24T175,175,8,7e-06,18,2926533196448737986950635454464000000000000,41087672334353029658793472524110575526161,exact_nfdisc,True,,
24T175,175,24,0.0,23,187298124572719231164840669085696000000000000,2926533196448737986950635454464000000000000,exact_nfdisc,True,True,1244706471102381064950408184147717177965570686976
24T176,176,0,0.0,35,1062073010697548707486557687250944,65226172301231730474663018496,exact_nfdisc,True,True,799810180674147094578293157979488256
